aen	aː ə n
afügen	ɑ f yː ʑ ə n
agefüügt	ɑ g ə f yː ɕ t
agang	ɑ g ɑ ŋ
agäng	ɑ g æ ŋ
agank	ɑ g ɑ ŋ k
ageheien	ɑ g ə h ɑɪ ə n
agehäit	ɑ g ə h æːɪ t
ageholl	ɑ g ə h o l
agéieren	ɑ ʒ ɜɪ ə ʀ ə n
agéiert	ɑ ʒ ɜɪ ɐ t
agemaachtes	ɑ g e m aː χ t ə s
agence	ɑ g ɑ̃ː s
agencen	ɑ g ɑ̃ː s ə n
agenda	ɑ ʒ æ n d aː
agendaen	ɑ ʒ æ n d aː ə n
agent	ɑ g æ n t
agenten	ɑ g æ n t ə n
agentin	ɑ g æ n t i n
agentinnen	ɑ g æ n t i n ə n
ageschneit	ɑ g ə ʃ n ɑɪ t
ageschriwwen	ɑ g ə ʃ ʀ i v ə n
agesinn	ɑ g ə z i n
ageständnes	ɑ g ə ʃ t æ n t n ə s
ageständnesser	ɑ g ə ʃ t æ n t n ə s ɐ
ageständnis	ɑ g ə ʃ t æ n t n i s
ageständnisser	ɑ g ə ʃ t æ n t n i s ɐ
agestoen	ɑ g ə ʃ t oː ə n
agestanen	ɑ g ə ʃ t ɑ n ə n
agglomeratioun	ɑ g l o m e ʀ ɑ ts j əʊ n
agglomeratiounen	ɑ g l o m e ʀ ɑ ts j əʊ n ə n
aggresséieren	ɑ g ʀ æ s ɜɪ ə ʀ ə n
aggresséiert	ɑ g ʀ æ s ɜɪ ɐ t
aggressioun	ɑ g ʀ æ s j əʊ n
aggressiounen	ɑ g ʀ æ s j əʊ n ə n
aggressiv	ɑ g ʀ æ s iː f
aggressivitéit	ɑ g ʀ æ s i v i t ɜɪ t
aginn	ɑ g i n
aglidderen	ɑ g l i d ə ʀ ə n
agegliddert	ɑ g ə g l i d ɐ t
agoen	ɑ g oː ə n
agaangen	ɑ g aː ŋ ə n
agonie	ɑ g oː n iə
agrafe	ɑ g ʀ aː f ə
agraffen	ɑ g ʀ ɑ f ə n
agraff	ɑ g ʀ ɑ f
agräifen	ɑ g ʀ æːɪ f ə n
agegraff	ɑ g ə g ʀ ɑ f
agrarpolitik	ɑ g ʀ aː ʀ p o l i t i k
agreabel	ɑ g ʀ e aː b ə l
agrëff	ɑ g ʀ ə f
agrëffer	ɑ g ʀ ə f ɐ
agrenzen	ɑ g ʀ æ n ts ə n
agegrenzt	ɑ g ə g ʀ æ n ts t
agruewen	ɑ g ʀ uə v ə n
agegruewen	ɑ g ə g ʀ uə v ə n
ägypten	ɛː ʑ i p t ə n
ägypter	ɛː ʑ i p t ɐ
ägypterin	ɛː ʑ i p t ə ʀ i n
ägypterinnen	ɛː ʑ i p t ə ʀ i n ə n
ägyptesch	ɛː ʑ i p t ə ʃ
ahnen	aː n ə n
geahnt	g e aː n t
ähnlech	ɛː n l ə ɕ
ahnung	aː n u ŋ
ahorn	aː h ɔ ʀ n
ahornen	aː h ɔ ʀ n ə n
aids	ɜɪ t s
aidsbehandlung	ɜɪ t s b ə h ɑ n d l u ŋ
aidsberodung	ɜɪ t s b ə ʀ oː d u ŋ
aidscampagne	ɜɪ t s k ɑ̃ː m p ɑ ɲ
aidscampagnen	ɜɪ t s k ɑ̃ː m p ɑ ɲ ə n
aidskrank	ɜɪ t s k ʀ ɑ ŋ k
aidsmedikament	ɜɪ t s m eː d i k ɑ m æ n t
aidsmedikamenter	ɜɪ t s m eː d i k ɑ m æ n t ɐ
aidsmëttel	ɜɪ t s m ə t ə l
aidsmëttelen	ɜɪ t s m ə t ə l ə n
aidstest	ɜɪ t s t æ s t
aidstester	ɜɪ t s t æ s t ɐ
aidstherapie	ɜɪ t s t e ʀ ɑ p iː
aierchen	ɑɪ ɐ ɕ ə n
aiercher	ɑɪ ɐ ɕ ɐ
äifer	æːɪ f ɐ
äifreg	æːɪ f ʀ ə ɕ
airbag	ɛː ʀ b aː χ
airbaggen	ɛː ʀ b ɑ g ə n
äis	æːɪ s
äisbierg	æːɪ s b iː ɐ ɕ
äisbierger	æːɪ s b iː ɐ ʑ ɐ
äisch	æːɪ ʃ
äischen	æːɪ s j ə n
äischer	æːɪ ʃ ɐ
äiseg	æːɪ z ə ɕ
äiser	æːɪ z ɐ
äisgang	æːɪ s g ɑ ŋ
äisgank	æːɪ s g ɑ ŋ k
äishellegen	æːɪ s h æ l ə ʑ ə n
äishelleg	æːɪ s h æ l ə ɕ
äishockey	æːɪ s h o k ə iː
äiskal	æːɪ s k aː l
äiskonschtlaf	æːɪ s k o n ʃ t l aː f
äiskonschtleefer	æːɪ s k o n ʃ t l eː f ɐ
äiskonschtleeferin	æːɪ s k o n ʃ t l eː f ə ʀ i n
äiskonschtleeferinnen	æːɪ s k o n ʃ t l eː f ə ʀ i n ə n
äispist	æːɪ s p i s t
äispisten	æːɪ s p i s t ə n
äispiste	æːɪ s p i s t ə
äisschaf	æːɪ s ʃ aː f
äisschief	æːɪ s ʃ iə f
äisschicht	æːɪ s ʃ i ɕ t
äisschichten	æːɪ s ʃ i ɕ t ə n
äiszäit	æːɪ s ts æːɪ t
äiszäiten	æːɪ s ts æːɪ t ə n
ajoute	ɑ ʒ uː ə
ajoutten	ɑ ʒ uː t ə n
ajustéieren	ɑ ʒ y s t ɜɪ ə ʀ ə n
ajustéiert	ɑ ʒ y s t ɜɪ ɐ t
akachen	ɑ k ɑ χ ə n
agekacht	ɑ g e k ɑ χ t
akademesch	ɑ k aː d eː m ə ʃ
akademie	ɑ k aː d eː m iː
akademien	ɑ k aː d eː m iː ə n
akademiker	ɑ k aː d eː m i k ɐ
akademikerin	ɑ k aː d eː m i k ə ʀ i n
akademikerinnen	ɑ k aː d eː m i k ə ʀ i n ə n
akaf	ɑ k aː f
akeef	ɑ k eː f
akafen	ɑ k aː f ə n
akaaft	ɑ k aː f t
akafskierfchen	ɑ k aː f s k iː ɐ f ɕ ə n
akafskierwercher	ɑ k aː f s k iː ɐ v ɐ ɕ ɐ
akafskuerf	ɑ k aː f s k u ə f
akafskierf	ɑ k aː f s k iː ɐ f
akafspräis	ɑ k aː f s p ʀ æːɪ s
akafspräisser	ɑ k aː f s p ʀ æːɪ s ɐ
akafsweenchen	ɑ k aː f s v eː n ɕ ə n
akafsweenercher	ɑ k aː f s v eː n ɐ ɕ ɐ
akafszenter	ɑ k aː f s ts æ n t ɐ
akafszentren	ɑ k aː f s ts æ n t ʀ ə n
akalkuléieren	ɑ k aː l k u l ɜɪ ə ʀ ə n
akalkuléiert	ɑ k aː l k u l ɜɪ ɐ t
akasséieren	ɑ k ɑ s ɜɪ ə ʀ ə n
akasséiert	ɑ k ɑ s ɜɪ ɐ t
akaul	ɑ k ɑʊ l
akaulen	ɑ k ɑʊ l ə n
akelleren	ɑ k æ l ə ʀ ə n
agekellert	ɑ g e k æ l ɐ t
aker	ɑ k ɐ
akeren	aː k ə ʀ ə n
akerbau	ɑ k ɐ b æːʊ
geakert	g e aː k ɐ t
akerland	ɑ k ɐ l ɑ n t
akkont	ɑ k ɑ̃ː
akkonten	ɑ k ɑ̃ː ə n
akkord	ɑ k ɔː ʀ
akkorden	ɑ k ɔ ʀ d ə n
akkordeon	ɑ k ɔ ʀ d eː ɑ̃ː
akkordeonen	ɑ k ɔ ʀ d eː ɑ̃ː ə n
akkordeonist	ɑ k ɔː ʀ d eː o n i s t
akkordeonisten	ɑ k ɔː ʀ d eː o n i s t ə n
akkordeonistin	ɑ k ɔː ʀ d eː o n i s t i n
akkordeonistinnen	ɑ k ɔː ʀ d eː o n i s t i n ə n
akku	ɑ k uː
akkuen	ɑ k uː ə n
akkusativ	ɑ k uː s ɑ t iː f
akkusativen	ɑ k uː s aː t iː v ə n
aklang	ɑ k l ɑ ŋ
aklank	ɑ k l ɑ ŋ k
aklappen	ɑ k l ɑ p ə n
ageklappt	ɑ g ə k l ɑ p t
aklasséieren	ɑ k l ɑ s ɜɪ ə ʀ ə n
aklasséiert	ɑ k l ɑ s ɜɪ ɐ t
akleeden	ɑ k l eː d ə n
agekleet	ɑ g ə k l eː t
aklemmen	ɑ k l æ m ə n
ageklemmt	ɑ g ə k l æ m t
aknuppen	ɑ k n u p ə n
ageknuppt	ɑ g e k n u p t
akommes	ɑ k o m ə s
akrämpen	ɑ k ʀ æ m p ə n
agekrämpt	ɑ g ə k ʀ æ m p t
akreesen	ɑ k ʀ eː z ə n
agekreest	ɑ g ə k ʀ eː æ s t
akribesch	ɑ k ʀ i b ə ʃ
akribie	ɑ k ʀ i b iː
akrobat	ɑ k ʀ o b aː t
akrobaten	ɑ k ʀ o b aː t ə n
akrobatesch	ɑ k ʀ o b aː t ə ʃ
akrobatik	ɑ k ʀ o b aː t i k
akrobatin	ɑ k ʀ o b aː t i n
akrobatinnen	ɑ k ʀ o b aː t i n ə n
akt	ɑ k t
akten	ɑ k t ə n
aktie	ɑ k s j ə
aktien	ɑ k s j ə n
aktiecours	ɑ k s j ə k uː ɐ
aktiecoursen	ɑ k s j ə k uː ə ʀ ə n
aktiegesellschaft	ɑ k s j ə g ə z æ l ʃ ɑ f t
aktiegesellschaften	ɑ k s j ə g ə z æ l ʃ ɑ f t ə n
aktionär	ɑ k s j oː n ɛː ʀ
aktionären	ɑ k s j oː n ɛː ʀ ə n
aktionärin	ɑ k s j oː n ɛː ʀ i n
aktionärinnen	ɑ k s j oː n ɛː ʀ i n ə n
aktionärsversammlung	ɑ k s j oː n ɛː ʀ s f ɐ z ɑ m l u ŋ
aktionärsversammlungen	ɑ k s j oː n ɛː ʀ s f ɐ z ɑ m l u ŋ ə n
aktioun	ɑ k s j əʊ n
aktiounen	ɑ k s j əʊ n ə n
aktiounsplang	ɑ k s j əʊ n s p l ɑ ŋ
aktiounspläng	ɑ k s j əʊ n s p l æ ŋ
aktiounsprogramm	ɑ k s j əʊ n s p ʀ o g ʀ ɑ m
aktiounsprogrammen	ɑ k s j əʊ n s p ʀ o g ʀ ɑ m ə n
aktiv	ɑ k t iː f
aktivéieren	ɑ k t i v ɜɪ ə ʀ ə n
aktivéiert	ɑ k t i v ɜɪ ɐ t
aktivismus	ɑ k t i v i s m u s
aktivist	ɑ k t i v i s t
aktivisten	ɑ k t i v i s t ə n
aktivistin	ɑ k t i v i s t i n
aktivistinnen	ɑ k t i v i s t i n ə n
aktivitéit	ɑ k t i v i t ɜɪ t
aktivitéiten	ɑ k t i v i t ɜɪ t ə n
aktualiséieren	ɑ k t w aː l i z ɜɪ ə ʀ ə n
aktualiséiert	ɑ k t w aː l i z ɜɪ ɐ t
aktualiséierung	ɑ k t w aː l i z ɜɪ ə ʀ u ŋ
aktualiséierungen	ɑ k t w aː l i z ɜɪ ə ʀ u ŋ ə n
aktualitéit	ɑ k t w aː l i t ɜɪ t
aktualitéiten	ɑ k t w aː l i t ɜɪ t ə n
aktuell	ɑ k t w æ l
akupunktur	ɑ k u p u ŋ k t uː ʀ
akustesch	ɑ k u s t ə ʃ
akustik	ɑ k u s t i k
akustiken	ɑ k u s t i k ə n
akut	ɑ k uː t
akzent	ɑ k ts æ n t
akzenter	ɑ k ts æ n t ɐ
akzeptabel	ɑ k ts æ p t aː b ə l
akzeptanz	ɑ k ts æ p t ɑ n ts
akzeptéieren	ɑ k ts æ p t ɜɪ ə ʀ ə n
akzeptéiert	ɑ k ts æ p t ɜɪ ɐ t
al	aː l
aläert	ɑ l ɛː ɐ t
alafen	ɑ l aː f ə n
agelaf	ɑ g ə l aː f
alarm	ɑ l aː ʀ m
alarmanlag	ɑ l aː ʀ m ɑ n l aː χ
alarmanlagen	ɑ l aː ʀ m ɑ n l aː ʁ ə n
alarmant	ɑ l aː ʀ m ɑ n t
alarméieren	ɑ l aː ʀ m ɜɪ ə ʀ ə n
alarméiert	ɑ l aː ʀ m ɜɪ ɐ t
alauden	ɑ l ɑʊ d ə n
agelaut	ɑ g ə l æːʊ t
albaner	ɑ l b ɑ n ɐ
albanerin	ɑ l b ɑ n ə ʀ i n
albanerinnen	ɑ l b ɑ n ə ʀ i n ə n
albanesch	ɑ l b ɑ n ə ʃ
albanien	ɑ l b ɑ n j ə n
album	ɑ l b u m
albumen	ɑ l b u m ə n
aleeden	ɑ l eː d ə n
ageleet	ɑ g ə l eː t
aleedung	ɑ l eː d u ŋ
aleedungen	ɑ l eː d u ŋ ə n
aleeën	ɑ l eː ə n
ageluecht	ɑ g ə l uə ɕ t
aléisen	ɑ l ɜɪ z ə n
ageléist	ɑ g ə l ɜɪ s t
alenken	ɑ l æ ŋ k ə n
agelenkt	ɑ g ə l æ ŋ k t
alertéieren	ɑ l æ ʀ t ɜɪ ə ʀ ə n
alertéiert	ɑ l æ ʀ t ɜɪ ɐ t
alg	ɑ l ɕ
algen	ɑ l ʑ ə n
algeresch	ɑ l ʒ eː ʀ ə ʃ
algerien	ɑ l ʒ eː ʀ j ə n
algerier	ɑ l ʒ eː ʀ iː ɐ
algerierin	ɑ l ʒ eː ʀ i ə ʀ i n
algerierinnen	ɑ l ʒ eː ʀ i ə ʀ i n ə n
alibi	aː l i b iː
alibien	aː l i b iː ə n
aliewen	ɑ l iə v ə n
agelieft	ɑ g ə l iə f t
aliichten	ɑ l iː ɕ t ə n
ageliicht	ɑ g ə l iː ɕ t
alimentatioun	ɑ l iː m ɑ̃ː n t ɑ ts j əʊ n
alimenten	ɑ l iː m æ n t ə n
alimenter	ɑ l iː m æ n t ɐ
aliwweren	ɑ l i v ə ʀ ə n
ageliwwert	ɑ g e l i v ɐ t
alkohol	ɑ l k o h oː l
alkoholen	ɑ l k o h oː l ə n
alkoholiker	ɑ l k o h oː l i k ɐ
alkoholikerin	ɑ l k o h oː l i k ə ʀ i n
alkoholikerinnen	ɑ l k o h oː l i k ə ʀ i n ə n
alkoholiséiert	ɑ l k o h oː l i z ɜɪ ɐ t
alkoholismus	ɑ l k o h oː l i s m u s
alkoholkontroll	ɑ l k o h oː l k o n t ʀ o l
alkoholkontrollen	ɑ l k o h oː l k o n t ʀ o l ə n
alkoholtest	ɑ l k o h oː l t æ s t
alkoholtester	ɑ l k o h oː l t æ s t ɐ
all	ɑ l
alldag	ɑ l d aː χ
alldeeglech	ɑ l d eː ɕ l ə ɕ
allee	ɑ l eː
alleeën	ɑ l eː ə n
alleguer	ɑ l ə g uː ɐ
alleguerten	ɑ l ə g uː ɐ t ə n
allem	ɑ l ə m
allen	ɑ l ə n
allënster	ɑ l ə n s t ɐ
aller	ɑ l ɐ
allerbescht	ɑ l ɐ b ə ʃ t
allerbuer	ɑ l ɐ b uː ɐ
allerdéngs	ɑ l ɐ d e ŋ s
allergesch	ɑ l æ ʀ ʒ ə ʃ
allergie	ɑ l æ ʀ ʒ iː
allergien	ɑ l æ ʀ ʒ iː ə n
allergiker	ɑ l æ ʀ ʒ i k ɐ
allergikerin	ɑ l æ ʀ ʒ i k ə ʀ i n
allergikerinnen	ɑ l æ ʀ ʒ i k ə ʀ i n ə n
allerhand	ɑ l ɐ h ɑ n t
allerhellegen	ɑ l ɐ h æ l ə ʑ ə n
allerhellegevakanz	ɑ l ɐ h æ l ə ʑ ə v ɑ k ɑ n ts
allerhellegevakanzen	ɑ l ɐ h æ l ə ʑ ə v ɑ k ɑ n ts ə n
allerlee	ɑ l ɐ l eː
retour	ʀ ə t uː ʀ
retouren	ʀ ə t uː ʀ ə n
allerséilen	ɑ l ɐ z ɜɪ l ə n
alles	ɑ l ə s
allgemeng	ɑ l g ə m æ ŋ
allgemengbildung	ɑ l g ə m æ ŋ b i l d u ŋ
allgemengheet	ɑ l g ə m æ ŋ h eː t
allgemengheeten	ɑ l g ə m æ ŋ h eː t ə n
allheelmëttel	ɑ l h eː l m ə t ə l
allianz	ɑ l j ɑ n ts
allianzen	ɑ l j ɑ n ts ə n
alliéiert	ɑ l j ɜɪ ɐ t
alljäerlech	ɑ l j ɛː ɐ l ə ɕ
alljoers	ɑ l j oː ɐ s
allkéiers	ɑ l k ɜɪ ɐ s
allmächteg	ɑ l m æ ɕ t ə ɕ
allméiglech	ɑ l m ɜɪ ʑ l ə ɕ
allocatioun	ɑ l o k ɑ ts j əʊ n
allocatiounen	ɑ l o k ɑ ts j əʊ n ə n
allokatioun	ɑ l o k ɑ ts j əʊ n
allokatiounen	ɑ l o k ɑ ts j əʊ n ə n
allür	ɑ l yː ʀ
allüren	ɑ l yː ʀ ə n
allure	ɑ l yː ʀ ə
alluren	ɑ l yː ʀ ə n
allusioun	ɑ l u s j əʊ n
allusiounen	ɑ l u s j əʊ n ə n
allzäit	ɑ l ts æːɪ t
allze	ɑ l ts ə
almosen	ɑ l m oː z ə n
almoudesch	aː l m əʊ d ə ʃ
aloggen	ɑ l o g ə n
ageloggt	ɑ g ə l oː χ ɕ t
aloossen	ɑ l oː s ə n
agelooss	ɑ g ə l oː s
alphabet	ɑ l f ɑ b eː t
alphabeten	ɑ l f ɑ b eː t ə n
alphabetesch	ɑ l f ɑ b eː t ə ʃ
alphabetisatioun	ɑ l f ɑ b eː t i z ɑ ts j əʊ n
alphabetiséieren	ɑ l f ɑ b eː t i z ɜɪ ə ʀ ə n
alphabetiséiert	ɑ l f ɑ b eː t i z ɜɪ ɐ t
alphabetiséierung	ɑ l f ɑ b eː t i z ɜɪ ə ʀ u ŋ
alpinist	ɑ l p i n i s t
alpinisten	ɑ l p i n i s t ə n
alpinistin	ɑ l p i n i s t i n
alpinistinnen	ɑ l p i n i s t i n ə n
alrodeschhaff	ɑ l ʀ oː d ə ʃ h ɑ f
als	ɑ l s
alschent	ɑ l ʃ ə n t
also	ɑ l z oː
alstad	aː l ʃ t aː t
alstied	aː l ʃ t iə t
alt	ɑ l t
alten	ɑ l t ə n
altbausanéierung	ɑ l t b æːʊ z ɑ n ɜɪ ə ʀ u ŋ
altbausanéierungen	ɑ l t b æːʊ z ɑ n ɜɪ ə ʀ u ŋ ə n
alter	ɑ l t ɐ
älter	æ l t ɐ
älteren	æ l t ə ʀ ə n
alternativ	ɑ l t ɛ ɐ n aː t iː f
alternativen	ɑ l t ɛ ɐ n aː t iː v ə n
alternative	ɑ l t ɛ ɐ n aː t iː v ə
altersgrenz	ɑ l t ɐ s g ʀ æ n ts
altersheem	ɑ l t ɐ s h eː m
altersheemer	ɑ l t ɐ s h eː m ɐ
altersheim	ɑ l t ɐ s h ɑɪ m
altersheimer	ɑ l t ɐ s h ɑɪ m ɐ
altertum	ɑ l t ɐ t u m
altess	ɑ l t æ s
altessen	ɑ l t æ s ə n
altesse	ɑ l t æ s ə
altor	ɑ l t oː ʀ
altär	ɑ l t ɛː ʀ
altwis	ɑ l t v iː
alueden	ɑ l uə d ə n
agelueden	ɑ g ə l uə d ə n
aluedung	ɑ l uə d u ŋ
aluedungen	ɑ l uə d u ŋ ə n
aluminium	ɑ l u m i n j u m
alzeng	ɑ l ts e ŋ
am	ɑ m
amaachen	ɑ m aː χ ə n
agemaach	ɑ g e m aː χ
amaachglas	ɑ m aː χ g l aː s
amaachglieser	ɑ m aː χ g l iə z ɐ
amaachglieschen	ɑ m aː χ g l i ə s j ə n
amaachgliesercher	ɑ m aː χ g l iə z ɐ ɕ ɐ
amant	ɑ m ɑ̃ː
amanten	ɑ m ɑ̃ː ə n
amarsch	ɑ m aː ʀ ʃ
amärsch	ɑ m ɛː ɐ ʃ
amarschéieren	ɑ m aː ʀ ʃ ɜɪ ə ʀ ə n
amarschéiert	ɑ m aː ʀ ʃ ɜɪ ɐ t
amateur	ɑ m ɑ t œː ʀ
amateuren	ɑ m ɑ t œː ʀ ə n
amateurin	ɑ m ɑ t œː ʀ i n
amateurinnen	ɑ m ɑ t œː ʀ i n ə n
amateurismus	ɑ m ɑ t œː ʀ i s m u s
amatrice	ɑ m ɑ t ʀ i s
amatricen	ɑ m ɑ t ʀ i s ə n
amaueren	ɑ m ɑʊ ə ʀ ə n
agemauert	ɑ g e m ɑʊ ɐ t
ambassade	ɑ̃ː m b ɑ s aː t
ambassaden	ɑ̃ː m b ɑ s aː d ə n
ambassadeur	ɑ̃ː m b ɑ s ɑ d œː ʀ
ambassadeuren	ɑ̃ː m b ɑ s ɑ d œː ʀ ə n
ambassadrice	ɑ̃ː m b ɑ s aː d ʀ i s
ambassadricen	ɑ̃ː m b ɑ s aː d ʀ i s ə n
amber	ɑ̃ː m b ɐ
ambiance	ɑ̃ː m b i ɑ̃ː s
ambiancen	ɑ̃ː m b i ɑ̃ː s ə n
ambigu	ɑ̃ː m b i g yː
ambiguitéit	ɑ̃ː m b i g yː i t ɜɪ t
ambiguitéiten	ɑ̃ː m b i g yː i t ɜɪ t ə n
ambitiéis	ɑ̃ː m b i s j ɜɪ s
ambitioun	ɑ̃ː m b i s j əʊ n
ambitiounen	ɑ̃ː m b i s j əʊ n ə n
amboss	ɑ m b o s
ambossen	ɑ m b o s ə n
ambulant	ɑ m b u l ɑ n t
ambulanz	ɑ m b u l ɑ n ts
ambulanzen	ɑ m b u l ɑ n ts ə n
ameis	ɑ m ɑɪ s
ameisen	ɑ m ɑɪ z ə n
amelioratioun	ɑ m e l j o ʀ ɑ ts j əʊ n
amelioratiounen	ɑ m e l j o ʀ ɑ ts j əʊ n ə n
amen	aː m ə n
amenagéieren	ɑ m e n ɑ ʒ ɜɪ ə ʀ ə n
amenagéiert	ɑ m e n ɑ ʒ ɜɪ ɐ t
amenagement	ɑ m e n ɑ ʒ ə m æ n t
amenagementer	ɑ m e n ɑ ʒ ə m æ n t ɐ
amendéieren	ɑ m ɑ̃ː n d ɜɪ ə ʀ ə n
amendéiert	ɑ m ɑ̃ː n d ɜɪ ɐ t
amendement	ɑ m ɑ̃ː n d ə m ɑ̃ː
amendementen	ɑ m ɑ̃ː n d ə m ɑ̃ː ə n
ament	ɑ m æ n t
amenter	ɑ m æ n t ɐ
amerika	ɑ m eː ʀ i k aː
amerikaner	ɑ m eː ʀ i k aː n ɐ
amerikanerin	ɑ m eː ʀ i k aː n ə ʀ i n
amerikanerinnen	ɑ m eː ʀ i k aː n ə ʀ i n ə n
amerikanesch	ɑ m eː ʀ i k aː n ə ʃ
amëschen	ɑ m ə ʃ ə n
agemëscht	ɑ g ə m ə ʃ t
ameséieren	ɑ m ə z ɜɪ ə ʀ ə n
ameséiert	ɑ m ə z ɜɪ ɐ t
amicale	ɑ m i k ɑ l
amicallen	ɑ m i k ɑ l ə n
aminosaier	ɑ m iː n oː z ɑɪ ɐ
aminosaieren	ɑ m iː n oː z ɑɪ ə ʀ ə n
ammoniak	ɑ m oː n i aː k
amnesie	ɑ m n e s iː
amnestie	ɑ m n æ s t iː
amnestien	ɑ m n æ s t iː ə n
amok	aː m o k
amoklaf	ɑ m o k l aː f
amokleef	ɑ m o k l eː f
amokleefer	ɑ m o k l eː f ɐ
amokleeferin	ɑ m o k l eː f ə ʀ i n
amokleeferinnen	ɑ m o k l eː f ə ʀ i n ə n
amortiséieren	ɑ m ɔ ʀ t i z ɜɪ ə ʀ ə n
amortiséiert	ɑ m ɔ ʀ t i z ɜɪ ɐ t
ampère	ɑ̃ː p ɛː ʀ
ampèremeter	ɑ̃ː p ɛː ʀ m eː t ɐ
ampèremeteren	ɑ̃ː p ɛː ʀ m eː t ə ʀ ə n
amplaz	ɑ m p l aː ts
ampull	ɑ m p u l
ampullen	ɑ m p u l ə n
amputéieren	ɑ m p u t ɜɪ ə ʀ ə n
amputéiert	ɑ m p u t ɜɪ ɐ t
amstand	ɑ m ʃ t ɑ n t
amt	ɑ m t
ämter	æ m t ɐ
amtlech	ɑ m t l ə ɕ
amtszäit	ɑ m t s ts æːɪ t
amtszäiten	ɑ m t s ts æːɪ t ə n
amusant	ɑ m u z ɑ n t
amüsant	ɑ m y s ɑ n t
amuséieren	ɑ m u z ɜɪ ə ʀ ə n
amuséiert	ɑ m u z ɜɪ ɐ t
amusement	ɑ m u z ə m æ n t
amusementer	ɑ m u z ə m æ n t ɐ
an	ɑ n
anachronismus	ɑ n ɑ k ʀ o n i s m u s
anachronismen	ɑ n ɑ k ʀ o n i s m ə n
anachronistesch	ɑ n ɑ k ʀ o n i s t ə ʃ
anal	ɑ n aː l
analog	ɑ n ɑ l oː k
analogie	ɑ n ɑ l o ʒ iː
analogien	ɑ n ɑ l o ʒ iː ə n
analphabet	ɑ n ɑ l f ɑ b eː t
analphabeten	ɑ n ɑ l f ɑ b eː t ə n
analphabetin	ɑ n ɑ l f ɑ b eː t i n
analphabetinnen	ɑ n ɑ l f ɑ b eː t i n ə n
analys	ɑ n ɑ l iː s
analysen	ɑ n ɑ l iː z ə n
analyse	ɑ n ɑ l iː z ə
analyséieren	ɑ n ɑ l iː z ɜɪ ə ʀ ə n
analyséiert	ɑ n ɑ l iː z ɜɪ ɐ t
analytiker	ɑ n ɑ l i t i k ɐ
analytikerin	ɑ n ɑ l i t i k ə ʀ i n
analytikerinnen	ɑ n ɑ l i t i k ə ʀ i n ə n
ananas	ɑ n ɑ n aː s
ananassen	ɑ n ɑ n aː s ə n
anarchie	ɑ n ɑ ʀ ɕ i ə
anarchist	ɑ n ɑ ʀ ɕ i s t
anarchisten	ɑ n ɑ ʀ ɕ i s t ə n
anarchistesch	ɑ n ɑ ʀ ɕ i s t ə ʃ
anarchistin	ɑ n ɑ ʀ ɕ i s t i n
anarchistinnen	ɑ n ɑ ʀ ɕ i s t i n ə n
anäscheren	ɑ n æ ʃ ə ʀ ə n
ageäschert	ɑ g e æ ʃ ɐ t
anäscherung	ɑ n æ ʃ ə ʀ u ŋ
anäscherungen	ɑ n æ ʃ ə ʀ u ŋ ə n
anästhesie	ɑ n æ s t e z iː
anästhesien	ɑ n æ s t e z iː ə n
anästhesist	ɑ n æ s t e s i s t
anästhesisten	ɑ n æ s t e s i s t ə n
anästhesistin	ɑ n æ s t e s i s t i n
anästhesistinnen	ɑ n æ s t e s i s t i n ə n
anatomie	ɑ n ɑ t o m iː
anatomien	ɑ n ɑ t o m iː ə n
anchecken	ɑ̃ː ʃ æ k ə n
agecheckt	ɑ g e t ʃ æ k t
anchois	ɑ̃ː ʃ w ɑ
anchoisen	ɑ̃ː ʃ w ɑ ə n
anciennetéit	ɑ̃ː s j æ n ə t ɜɪ t
andacht	ɑ n d ɑ χ t
andachten	ɑ n d ɑ χ t ə n
andächteg	ɑ n d æ ɕ t ə ɕ
andämmen	ɑ n d æ m ə n
agedämmt	ɑ g ə d æ m t
andauernd	ɑ n d ɑʊ ɐ n t
andecken	ɑ n d æ k ə n
agedeckt	ɑ g ə d æ k t
andeelen	ɑ n d eː l ə n
agedeelt	ɑ g ə d eː l t
andeelung	ɑ n d eː l u ŋ
andeelungen	ɑ n d eː l u ŋ ə n
andeem	ɑ n d eː m
andeems	ɑ n d eː m s
andorra	ɑ n d o ʀ aː
andorraner	ɑ n d o ʀ aː n ɐ
andorranerin	ɑ n d o ʀ aː n ə ʀ i n
andorranerinnen	ɑ n d o ʀ aː n ə ʀ i n ə n
andorranesch	ɑ n d o ʀ aː n ə ʃ
andrécken	ɑ n d ʀ e k ə n
agedréckt	ɑ g ə d ʀ e k t
andréien	ɑ n d ʀ ɜɪ ə n
agedréit	ɑ g ə d ʀ ɜɪ t
andréinen	ɑ n d ʀ ɜɪ n ə n
agedréint	ɑ g ə d ʀ ɜɪ n t
andreiwen	ɑ n d ʀ ɑɪ v ə n
agedriwwen	ɑ g ə d ʀ i v ə n
androck	ɑ n d ʀ o k
andréck	ɑ n d ʀ e k
androen	ɑ n d ʀ oː ə n
agedroen	ɑ g ə d ʀ oː ə n
anekdot	ɑ n æ k d oː t
anekdoten	ɑ n æ k d oː t ə n
anemie	ɑ n e m iː
anenaner	ɑ n ə n aː n ɐ
anenanerrennen	ɑ n ə n ɑ n æ ʀ æ n ə n
anenanergerannt	ɑ n ə n ɑ n ɐ ʑ ə ʀ ɑ n t
aneneen	ɑ n ə n eː n
